"tweet_id","cascade_rows","size","edge_count","root_count","component_count","depth_graph","depth_field","max_breadth","avg_breadth","root_breadth","root_share","branching_mean","branching_sd","structural_virality","time_min","time_max","time_span","time_to_50pct","time_to_80pct","avg_interaction","avg_interest_similarity","avg_structural_redundancy","avg_number_exposures","total_number_exposures","mean_reciprocity","mean_retweeting_inertia","mean_followers_retweeter","mean_friends_retweeter","mean_statuses_retweeter","mean_age_retweeter","mean_followers_parent","mean_friends_parent","mean_statuses_parent","mean_age_parent","root_followers","root_friends","root_statuses","root_age","embed_1","embed_2","embed_3","embed_4","embed_5","cascade_type","shape_cluster"
"1099796299396861952",25,26,25,1,1,2,2,22,8.66666666666667,3,0.12,12.5,13.4350288425444,2.05846153846154,-0.538933728693324,-0.105726763616205,0.433206965077119,-0.538933728693324,-0.538933728693324,2.39953690696085,0.0104314408788186,0.166544649879382,0,0,0.08,0.608221288088709,18798.6,1551.52,46012.4,6.48,398067.56,3823.16,20147.68,4.76,2717,3443,3220,3,4.80570598873969,1.38028618401818,0.0000000000000000000000000000001628961723613,0.0000000000000000000000000000000000000000000000193524632366155,0.00000000000000000000000000000000000000000000000419581269022122,"broadcast",1
"1099797712864710656",3,4,3,1,1,2,2,2,1.33333333333333,1,0.333333333333333,1.5,0.707106781186548,1.5,-0.256750534340975,0.258195935121039,0.514946469462014,0.258195935121039,0.258195935121039,0.231049060186648,0.0274329180017773,0.169687417914368,0,0,0.666666666666667,0.455454194895773,605.666666666667,416,5207,6.33333333333333,576,467.666666666667,1822,5,308,461,3448,1,1.73205080756888,0,0,-1.73205080756888,0,"unclassified",NA
"1099800489519132672",4,5,4,1,1,2,2,2,1.66666666666667,2,0.5,2,0,1.8,-2.28637787834146,-0.930055420575598,1.35632245776586,-1.60821664945853,-0.930055420575598,2.44208871963616,0.0613614200718863,0.0502401745843379,0,0,1,0.906367875181911,8092.5,5364.25,339273.5,6,12404.5,9655.5,31493.5,5,120,148,99,3,1.84775906502257,0.765366864730179,0,-0.765366864730179,-1.84775906502257,"unclassified",NA
"1099803370985005057",18,19,18,1,1,1,1,18,9.5,18,1,18,0,1.89473684210526,0.51221317352681,0.51221317352681,0,0.51221317352681,0.51221317352681,2.48631910827489,0.0495293018564046,0.280165149497327,0,0,0,0.62277079453368,145.222222222222,168,4083.72222222222,2.27777777777778,55096,444,6546,5,55096,444,6546,5,4.24264068711929,0,0,0,0,"broadcast",1
"1099804562179977220",8,9,8,1,1,3,3,6,2.25,6,0.75,2.66666666666667,2.88675134594813,2.22222222222222,-1.86099320902262,-1.1134885307414,0.74750467828122,-1.1134885307414,-1.1134885307414,3.91146241698373,0.384230650490643,0.0364705916223319,0,0,0.25,0.800179334147462,2217.375,2372.125,47470.5,5.25,5441.875,1315,31641.125,4.125,5241,12,19384,4,2.49721204095683,1.32813102610406,0.00000000000000000000000000000014791141972894,0.0000000000000000000000000000000000000000000000218952885050753,0.0000000000000000000000000000000000000000000000109476442525376,"unclassified",NA
"1099805178759340033",77,78,77,1,1,3,3,66,19.5,66,0.857142857142857,7,19.5703857907809,2.34498834498834,-0.25610228215177,2.22863805732093,2.4847403394727,0.213463781437129,0.213463781437129,0.821663464548414,0.00619198755483069,0.0243780301826432,0,0,0.116883116883117,0.728291843709911,1069.25974025974,791.584415584416,48448.8961038961,6.7012987012987,7929.1948051948,2781.63636363636,129251.909090909,9.61038961038961,8632,2909,133469,10,8.13071207113226,1.72774072936744,1.41421356237309,1.40364876714078,1.00000000000001,"broadcast",1
"1099806516742373376",14,15,14,1,1,6,6,5,2.14285714285714,5,0.357142857142857,1.55555555555556,1.33333333333333,3.6952380952381,1.6980840742833,2.17876108246078,0.48067700817748,1.95611728511486,2.10588480363373,0.564039478688788,0.115253912949885,0.130205661897111,0.49049523460442,6.86693328446188,1,0.510271777795121,3633.21428571429,2842.07142857143,16922,1.85714285714286,2358.28571428571,1819.35714285714,8479.21428571429,1.85714285714286,1636,1495,2722,3,2.41935814528941,1.87320047876628,1.41421356237309,1.30403617966885,0.829095932760612,"viral",2
"1099808471258722304",5,6,5,1,1,1,1,5,3,5,1,5,0,1.66666666666667,-1.45919292033215,-1.45919292033215,0,-1.45919292033215,-1.45919292033215,1.07505568153683,0.0550388025885838,0.104675663579928,0,0,0.4,0.82395366967185,4084.2,4194.8,76153,5.2,2077,2769,2060,7,2077,2769,2060,7,2.23606797749979,0,0,0,0,"unclassified",NA
"1099809171703255040",5,6,5,1,1,4,4,2,1.2,2,0.4,1.25,0.5,2.33333333333333,-0.890418115136262,1.15636440920763,2.04678252434389,-0.742189668948708,-0.323937692357474,1.74774709227269,0.518752088918961,0.181091685652563,0.138629436111989,0.693147180559945,0.8,0.611026604577072,904.8,688.8,1282.8,4.4,584.6,662.8,961.6,4.4,40,178,121,7,1.80193773580484,1.24697960371747,0.445041867912629,-0.445041867912629,-1.24697960371747,"unclassified",NA
"1099814573975261187",5,6,5,1,1,1,1,5,3,5,1,5,0,1.66666666666667,-1.0891944260867,-1.0891944260867,0,-1.0891944260867,-1.0891944260867,1.85952367601665,0.00719684840007948,0.038612507833156,0,0,0.6,0.488384829414387,2461.6,1105.2,95961,7.2,9182,4428,65529,7,9182,4428,65529,7,2.23606797749979,0,0,0,0,"unclassified",NA
